Woche;TS;TK;OG;FD;FF
02.01.12;461700;102878;187887;312672;24474
09.01.12;496850;125586;256039;398764;24214
16.01.12;566221;153878;247588;435166;22318
23.01.12;558765;131291;222069;411530;22743
30.01.12;607327;136636;271674;418642;26039
06.02.12;651017;134689;267698;413709;24145
13.02.12;610126;129123;225158;425433;23365
20.02.12;642140;129720;221067;341344;19363
27.02.12;603962;136608;241916;419625;24568
05.03.12;605354;145649;235414;412388;24973
12.03.12;600002;142553;245314;417679;21673
19.03.12;675432;168962;251445;438731;28738
26.03.12;743219;194094;277126;471369;30116
02.04.12;567320;142681;264414;438016;29998
09.04.12;566275;130067;243661;362512;23335
16.04.12;574700;121556;244649;400310;26252
23.04.12;691752;152159;268690;461058;30730
30.04.12;514346;116791;242738;391935;28073
07.05.12;727752;144250;263513;451884;28753
14.05.12;562140;109772;263560;428616;23545
21.05.12;732706;151314;222983;459515;31696
28.05.12;600341;134412;273566;373581;24432
04.06.12;496192;107240;229634;393544;27154
11.06.12;630584;131939;245675;416188;29323
18.06.12;630132;131233;259046;435304;28149
25.06.12;630753;140229;247588;419932;28206
02.07.12;648423;145029;258491;416023;28486
09.07.12;620186;138486;248469;410464;25311
16.07.12;596301;129249;255245;405858;26868
23.07.12;620233;113778;278044;422365;27562
30.07.12;627853;122499;269968;420941;26568
06.08.12;604085;124143;248919;391403;28111
13.08.12;616884;115784;249117;411108;29852
20.08.12;636026;143465;289631;425897;25108
27.08.12;614011;111142;226619;412675;30006
03.09.12;648935;117103;279315;399208;25908
10.09.12;655866;126928;229354;419046;30765
17.09.12;657270;123481;218443;455281;24650
24.09.12;741872;131450;237402;434180;30649
01.10.12;528295;97249;231959;384046;22817
08.10.12;649292;109939;217692;412302;24487
15.10.12;654671;117809;217666;423836;22031
22.10.12;795969;120144;207118;421101;25737
29.10.12;566372;94793;215523;418222;24367
05.11.12;662535;141211;232343;433238;24532
12.11.12;632047;123845;228123;429486;24022
19.11.12;678136;104341;249156;414913;23374
26.11.12;682517;110291;278391;407213;23599
03.12.12;755732;130439;246650;432850;26931
10.12.12;749396;134946;235055;459918;30290
17.12.12;1027711;176657;337498;542955;30563
24.12.12;453392;87128;203058;311111;18581
31.12.12;426198;88160;206229;297215;21738
07.01.13;536384;109422;258226;411965;26982
14.01.13;590250;119240;247151;419375;21237
21.01.13;635626;116968;267258;432036;29327
28.01.13;665145;120116;257216;438600;26024
04.02.13;651462;125301;260992;448578;24474
11.02.13;659055;116813;248181;368468;25064
18.02.13;638792;107634;266293;424590;25116
25.02.13;632846;103494;272933;440222;24572
04.03.13;657546;100355;258729;445494;24142
11.03.13;696054;84113;268852;480652;27094
18.03.13;763716;110941;284754;540754;26338
25.03.13;591112;77496;282841;456472;25799
01.04.13;560963;73542;275832;374980;24577
